employee_id,skill_id,proficiency,source
EMP001,SK011,3,synthetic-self-assessment
EMP001,SK006,0,synthetic-self-assessment
EMP001,SK005,1,synthetic-self-assessment
EMP001,SK002,0,synthetic-self-assessment
EMP001,SK039,3,synthetic-self-assessment
EMP001,SK003,2,synthetic-self-assessment
EMP001,SK013,4,synthetic-self-assessment
EMP001,SK001,5,synthetic-self-assessment
EMP002,SK011,3,synthetic-self-assessment
EMP002,SK009,2,synthetic-self-assessment
EMP002,SK015,0,synthetic-self-assessment
EMP002,SK005,4,synthetic-self-assessment
EMP002,SK039,3,synthetic-self-assessment
EMP002,SK002,3,synthetic-self-assessment
EMP002,SK010,2,synthetic-self-assessment
EMP002,SK017,4,synthetic-self-assessment
EMP002,SK001,5,synthetic-self-assessment
EMP003,SK011,2,synthetic-self-assessment
EMP003,SK006,3,synthetic-self-assessment
EMP003,SK007,4,synthetic-self-assessment
EMP003,SK003,3,synthetic-self-assessment
EMP003,SK004,1,synthetic-self-assessment
EMP003,SK032,1,synthetic-self-assessment
EMP003,SK008,2,synthetic-self-assessment
EMP003,SK033,3,synthetic-self-assessment
EMP004,SK022,3,synthetic-self-assessment
EMP004,SK017,2,synthetic-self-assessment
EMP004,SK005,5,synthetic-self-assessment
EMP004,SK028,1,synthetic-self-assessment
EMP004,SK027,4,synthetic-self-assessment
EMP004,SK026,2,synthetic-self-assessment
EMP004,SK010,2,synthetic-self-assessment
EMP004,SK019,5,synthetic-self-assessment
EMP004,SK020,2,synthetic-self-assessment
EMP005,SK006,0,synthetic-self-assessment
EMP005,SK021,3,synthetic-self-assessment
EMP005,SK024,4,synthetic-self-assessment
EMP005,SK005,5,synthetic-self-assessment
EMP005,SK026,1,synthetic-self-assessment
EMP005,SK019,5,synthetic-self-assessment
EMP005,SK001,0,synthetic-self-assessment
EMP005,SK020,3,synthetic-self-assessment
EMP005,SK008,3,synthetic-self-assessment
EMP006,SK011,3,synthetic-self-assessment
EMP006,SK019,4,synthetic-self-assessment
EMP006,SK015,3,synthetic-self-assessment
EMP006,SK040,1,synthetic-self-assessment
EMP006,SK016,0,synthetic-self-assessment
EMP006,SK012,3,synthetic-self-assessment
EMP006,SK013,5,synthetic-self-assessment
EMP006,SK018,3,synthetic-self-assessment
EMP006,SK017,2,synthetic-self-assessment
EMP007,SK011,4,synthetic-self-assessment
EMP007,SK038,1,synthetic-self-assessment
EMP007,SK015,3,synthetic-self-assessment
EMP007,SK014,2,synthetic-self-assessment
EMP007,SK016,4,synthetic-self-assessment
EMP007,SK012,2,synthetic-self-assessment
EMP007,SK013,5,synthetic-self-assessment
EMP007,SK018,0,synthetic-self-assessment
EMP007,SK017,2,synthetic-self-assessment
EMP008,SK011,3,synthetic-self-assessment
EMP008,SK029,3,synthetic-self-assessment
EMP008,SK024,2,synthetic-self-assessment
EMP008,SK028,4,synthetic-self-assessment
EMP008,SK031,0,synthetic-self-assessment
EMP008,SK003,2,synthetic-self-assessment
EMP008,SK030,2,synthetic-self-assessment
EMP008,SK012,0,synthetic-self-assessment
EMP009,SK011,2,synthetic-self-assessment
EMP009,SK036,2,synthetic-self-assessment
EMP009,SK038,2,synthetic-self-assessment
EMP009,SK023,1,synthetic-self-assessment
EMP009,SK007,0,synthetic-self-assessment
EMP009,SK035,2,synthetic-self-assessment
EMP009,SK034,3,synthetic-self-assessment
EMP009,SK037,2,synthetic-self-assessment
EMP010,SK006,0,synthetic-self-assessment
EMP010,SK038,2,synthetic-self-assessment
EMP010,SK040,4,synthetic-self-assessment
EMP010,SK004,1,synthetic-self-assessment
EMP010,SK012,0,synthetic-self-assessment
EMP010,SK032,2,synthetic-self-assessment
EMP010,SK037,0,synthetic-self-assessment
EMP010,SK033,5,synthetic-self-assessment
EMP011,SK011,1,synthetic-self-assessment
EMP011,SK038,2,synthetic-self-assessment
EMP011,SK005,2,synthetic-self-assessment
EMP011,SK002,0,synthetic-self-assessment
EMP011,SK039,3,synthetic-self-assessment
EMP011,SK003,3,synthetic-self-assessment
EMP011,SK010,3,synthetic-self-assessment
EMP011,SK001,3,synthetic-self-assessment
EMP012,SK011,0,synthetic-self-assessment
EMP012,SK009,4,synthetic-self-assessment
EMP012,SK036,2,synthetic-self-assessment
EMP012,SK015,2,synthetic-self-assessment
EMP012,SK005,3,synthetic-self-assessment
EMP012,SK039,3,synthetic-self-assessment
EMP012,SK026,3,synthetic-self-assessment
EMP012,SK010,0,synthetic-self-assessment
EMP012,SK001,4,synthetic-self-assessment
EMP013,SK011,1,synthetic-self-assessment
EMP013,SK006,5,synthetic-self-assessment
EMP013,SK007,5,synthetic-self-assessment
EMP013,SK003,3,synthetic-self-assessment
EMP013,SK013,3,synthetic-self-assessment
EMP013,SK032,1,synthetic-self-assessment
EMP013,SK010,0,synthetic-self-assessment
EMP013,SK033,3,synthetic-self-assessment
EMP014,SK036,0,synthetic-self-assessment
EMP014,SK022,3,synthetic-self-assessment
EMP014,SK005,5,synthetic-self-assessment
EMP014,SK027,0,synthetic-self-assessment
EMP014,SK026,1,synthetic-self-assessment
EMP014,SK010,1,synthetic-self-assessment
EMP014,SK019,5,synthetic-self-assessment
EMP014,SK020,4,synthetic-self-assessment
EMP014,SK035,0,synthetic-self-assessment
EMP015,SK021,2,synthetic-self-assessment
EMP015,SK024,4,synthetic-self-assessment
EMP015,SK005,3,synthetic-self-assessment
EMP015,SK014,1,synthetic-self-assessment
EMP015,SK034,1,synthetic-self-assessment
EMP015,SK026,3,synthetic-self-assessment
EMP015,SK019,0,synthetic-self-assessment
EMP015,SK001,4,synthetic-self-assessment
EMP015,SK020,4,synthetic-self-assessment
EMP016,SK011,4,synthetic-self-assessment
EMP016,SK015,2,synthetic-self-assessment
EMP016,SK040,1,synthetic-self-assessment
EMP016,SK016,0,synthetic-self-assessment
EMP016,SK012,3,synthetic-self-assessment
EMP016,SK013,4,synthetic-self-assessment
EMP016,SK018,1,synthetic-self-assessment
EMP016,SK017,2,synthetic-self-assessment
EMP016,SK033,0,synthetic-self-assessment
EMP017,SK011,1,synthetic-self-assessment
EMP017,SK015,5,synthetic-self-assessment
EMP017,SK031,1,synthetic-self-assessment
EMP017,SK016,4,synthetic-self-assessment
EMP017,SK012,4,synthetic-self-assessment
EMP017,SK013,4,synthetic-self-assessment
EMP017,SK018,2,synthetic-self-assessment
EMP017,SK017,4,synthetic-self-assessment
EMP017,SK020,1,synthetic-self-assessment
EMP018,SK011,2,synthetic-self-assessment
EMP018,SK029,4,synthetic-self-assessment
EMP018,SK023,2,synthetic-self-assessment
EMP018,SK028,5,synthetic-self-assessment
EMP018,SK031,0,synthetic-self-assessment
EMP018,SK030,4,synthetic-self-assessment
EMP018,SK012,0,synthetic-self-assessment
EMP018,SK034,1,synthetic-self-assessment
EMP019,SK011,4,synthetic-self-assessment
EMP019,SK036,3,synthetic-self-assessment
EMP019,SK038,1,synthetic-self-assessment
EMP019,SK005,0,synthetic-self-assessment
EMP019,SK031,0,synthetic-self-assessment
EMP019,SK035,5,synthetic-self-assessment
EMP019,SK034,3,synthetic-self-assessment
EMP019,SK037,3,synthetic-self-assessment
EMP020,SK006,3,synthetic-self-assessment
EMP020,SK038,3,synthetic-self-assessment
EMP020,SK040,3,synthetic-self-assessment
EMP020,SK039,3,synthetic-self-assessment
EMP020,SK031,3,synthetic-self-assessment
EMP020,SK032,4,synthetic-self-assessment
EMP020,SK037,2,synthetic-self-assessment
EMP020,SK033,0,synthetic-self-assessment
EMP021,SK011,3,synthetic-self-assessment
EMP021,SK024,1,synthetic-self-assessment
EMP021,SK021,1,synthetic-self-assessment
EMP021,SK005,0,synthetic-self-assessment
EMP021,SK002,3,synthetic-self-assessment
EMP021,SK039,0,synthetic-self-assessment
EMP021,SK003,3,synthetic-self-assessment
EMP021,SK001,2,synthetic-self-assessment
EMP022,SK011,3,synthetic-self-assessment
EMP022,SK009,3,synthetic-self-assessment
